Column header,Description,Comments,,
##Local ID,"Optional.  The stable unique identifier your organization uses to identifiy this variant. Although optional, it is highly recommended you assign this value.",,,
Linking ID,"Required. This value is used to connect a row on the Variant tab to one or more rows in the CaseData tab. If each variant is submitted once on the Variant tab, you can use the HGVS as the Linking ID. If any variant is submitted more than once on the Variant tab (with more than one condition), the Linking ID should be specific to that variant-condition pair.",,,
Gene symbol,Optional.  This must be the preferred symbol from HGNC. Multiple separated by semi-colon.,,,
Reference sequence,"Required if Genomic coordinates are not provided. The reference sequence for the variant description in the HGVS name column, e.g. NM_000492.3, NG_016465.3, NC_000007.13. ",,,
HGVS,"Required for sequence variants if genomic coordinates are not provided. 
Provide the c. or g. portion of the nucleotide HGVS expression(s) for the variants being reported related to condition.  (http://www.hgvs.org/mutnomen/examplesDNA.html, http://www.hgvs.org/mutnomen/standards.html). Can also be used for a haplotype or compound heterozygotes, e.g.  c.[76A>C;105G>A]  or  c.[76A>C];[105G>A] . ",,,
Genomic coordinates,"Required if Reference sequence is not provided.  If you submit genomic coordinates, you must also provide the name of the genome assembly on the SubmissionInfo tab. This will be used to validate the calculation of genomic location based on the combination of Reference sequence and HGVS name.",,,
Reference allele,Required if HGVS is not provided. The reference allele for the submitted variant.,,,
Alternate allele,Required if HGVS is not provided. The alternate  allele for the submitted variant.,,,
Chromosome,"Required for structural variants.
- For variants defined with genomic coordiates, provide the chromosome number.
 - For variants defined cytogenetically, provide the ISCN nomenclature for the region.",,,
Variant type,Required for structural variants. ,,,
Start,,,,
Stop,,,,
Outer start,,,,
Inner start,,,,
Inner stop,,,,
Outer stop,,,,
Variant length,Required only for structural variants if outer start/stop is provided but inner start/stop is not provided.,,,
Copy number,"Optional, for structural variants detected by array. The absolute copy number of the variant, if known.",,,
Reference copy number,"Optional, for structural variants detected by array. The copy number of the variant in the reference genome.",,,
Trace or probe data,"Optional. For a particular trace or set of probe data that is in NCBI's Probe, SRA, or Trace Archive, and which is the primary evidence on which this variant call is based. Report as database name:database identifier; integers without a database name cannot be processed. Separate multiple identifiers by semi-colon. Examples: PROBE:Pr153103;
SRA:SRX073508; TRACE:FJ043059
",,,
Complexity,Optional. To identify simple variants vs complex variants. Simple is the default value. Other allowed values are complex (multiple changes that are considered a single variant); haplotype (multiple independent variants in cis); and compound (multiple independent variants in trans).,,,
Variation identifiers,"Optional.  Any of OMIM allelic variant ID, dbSNP rs number, dbVar submitter or region identifier, Swiss-Prot VAR id. Report as database name:database identifier; integers without a database name cannot be processed. Separate multiple identifiers by semi-colon. Examples: OMIM:611101.0001; dbSNP: rs104894321;dbVar:nsv491743;dbVar:essv12345",,,
Location,"Optional.  This can be used for intron or exon number. These must be submitted with the reference sequence used to define the numbering system, e.g.  NM_000060.2:exon 2. ",,,
Alternate designations ,"Optional.  A set of alternative,  common, or legacy names for the variant, or an alternate HGVS expression, e.g. for protein. Separate multiple names by vertical bar.",,,
Official allele name,"Optional. For variants that are assigned official allele names, e.g. CYP3A4*18 for one of the cytochrome P450 gene CYP3A4; or HLA-DRA*0102 for the MHC gene HLA-DRA.",,,
URL,Optional.  A URL that points to this variant on your organization's website.,,,
Condition ID type,"Required if ""Preferred condition name"" is not supplied. Please specify the type of Condition ID supplied in the Condition ID value column. Values may include both diseases and phenotypes  Allowed values are: OMIM, MeSH, MedGen, UMLS, HPO.  If you use a different ontology, please check with us first.",,,
Condition ID value,"Required if ""Preferred condition name"" is not supplied. Please specify the identifer from the database referenced in the Condition ID type column. If there are multiple values, they all need to be from the same source, and delimited by a semicolon.

",,,
Condition category,"Defaults to Disease if not filled in. Allowed spreadsheet values are Disease, DrugResponse, BloodGroup, Finding.  Use Finding for clinical findings with no disease diagnosis.

",,,
Preferred condition name,"Required if ""Condition ID Type"" and ""Condition ID Value"" are not supplied.  We strongly encourage describing condition by specific identifiers. If this is not feasible, you may list the observed conditions here, delimited by a vertical bar. If you do not wish to make an assertion about condition, please enter ""not provided.""  In cases where the Clinical significance is ""benign"" and no condition is associated with the variant, you may use ""AllHighlyPenetrant"" as the condition.",,,
Clinical significance,"Required: Clinical significance is required. One option, however, is ‘not provided’, so submitters are not required to calculate significance to submit their data. Allowed values: Pathogenic, Likely pathogenic, Uncertain significance, Likely benign, Benign, association, drug response, confers sensitivity, protective, risk factor, other, not provided. If ""other"" or ""drug response"", please expand ""Clinical Significance - more"" columns.",,,
Explanation if clinical significance is other or drug response,"Required if 'other' is selected for clinical significance: Submitter's  clinical significance.  Please contact us regarding the  new value.  

Optional for clinical significance of  ""drug response"".  Allows a  submitter value describing  the drug response.  

These values should be short for display purposes.",,,
Drug response condition,Optional.  The disease or condition for which the drug response is relevant.,,,
Date last evaluated,"Required, if available: date the clinical significance was last evaluated.  If not available, leave blank.  If  only month/year is provided we will convert it to the first day of the month.  If only year is provided it will be converted to the first day of the first month of the year.",,,
