symbol,entrez_id,chr,end_hg38,ensembl_id,start_hg38,start_hg38_legacy_variants,end_hg38_legacy_variants,synonyms_ac_col,hgvs_cdna_default_ac,start_hg37,end_hg37,strand
ATM,472,11,108369102,ENSG00000149311,108222484,-,-,-,NM_000051.3,108093559,108239829,plus
BARD1,580,2,214809683,ENSG00000138376,214725645,-,-,-,NM_000465.4,215590369,215674407,minus
BRCA1,672,17,43125483,ENSG00000012048,43044295,43008077,43127866,NM_007294.2;NM_007300.3;NM_007299.3;NM_007298.3;NM_007297.3;U14680.1,NM_007294.3,41196312,41277500,minus
BRCA2,675,13,32400266,ENSG00000139618,32315474,32314514,32400266,U43746.1,NM_000059.3,32889617,32973809,plus
BRIP1,83990,17,61864120,ENSG00000136492,61679139,-,-,-,NM_032043.2,59756500,59941481,minus
CHEK2,11200,22,28742422,ENSG00000183765,28687743,-,-,-,NM_007194.3,29083731,29137822,minus
PALB2,79728,16,23641310,ENSG00000083093,23603160,-,-,-,NM_024675.3,23614481,23652678,minus
RAD51C,5889,17,58735611,ENSG00000108384,58692140,-,-,-,NM_058216.1,56769501,56812972,plus
RAD51D,5892,17,35119860,ENSG00000185379,35092221,-,-,-,NM_002878.3,33419240,33446879,minus
CDH1,999,16,68837541,ENSG00000153922,68732292,-,-,-,NM_004360.3,68771128,68869445,plus
